,SLEEP,,,
stage,name,state ,effect,relaxation state 
stage 1,jagrat wakefulness,,,
stage 2,swapna - REM,dream,eyes follow dream,
stage 3,susupti - NREM,dream ceases,non dream sleep,"anabolic process of recuperation, rehabilitation and healing"
stage 4,awareness of awareness itself state is reached,,,
stage 5,turiya avastha - yoga nidraa ,body reposes  restfully,energy spiraling outwards,"deepest state of relaxation, sensory impukses are registered but efferent. mind contemplates itself .. awareness of awareness itself"
,yoga nidra steps,,,
steps,,,,
,step,action,,
,step 1,"savasana, head North, savitri 6:3:6:3, reach NREM state without sleep cycle",,
,step 2,"focus on solar plexus, point of pin, bindu for dharana",,
,step 3,"circle spiral into  top of thimble, rim of tea cup, rim of saucer, dinner plate, rib cage and bootn of pelvis, mid-chest and pubis, lower nexk and mid thighs, eyebrows and anles, top of head and bottom of feet, 6in above and below  ",,
,step 4,"journey towards transcendence, moving beyong individual identity to vastness of universe",,
,step 5,"now reverse anticlockwise and spiral back to the lil point, akin to securing screw into wood. reestablishing individuality",,
,step 6,"somato psynchic leads to psycho somatic, divinity manifesting through us",,
,step 7,"enjoy cosmic state of relaxation, roll ove ron lhs, lift left arm, all fours , slowly stand",,
,step 8,wiggle little finger of right hand,,
,repeat,3x,,
,ratio ,"unconscious-subconscious-conscious-(jagrat, nidra-turiya(expanding inner reality))",,
,benefits,disrupts habitual patterns breask samskaras and vasana patterns that contribute to individuality,,
,benefits,"aligns pancha koshas, elevated psychic state",,
,additional notes,22 part body part relaxation technqiue-more chetna nidraa,,
,,,,
,,,,
tips,,,,
tip 1,When we work on any physical exercise – the exchange of gases at a cellular level / tissue level (tissue as a group of cells). Your tissues need oxygen and glucose. If they have adequate amounts of both they will function well. Tissues will form carbon dioxide which builds up with exercise. When you perform pranayama you enhance the efficacy of your lungs. Most people work only 10%! So if we increase it to 20% you’ve given a 100% improvement therefore the tissues will get a better delivery of oxygen. You have a competent system. Then there is an acid alkaline balance. When muscles are tired the body is in survival mode. The pranayama enhances the capacity so gives optimum endurance.,,,
tip 2,The kumbhaka – held in techniques slow down the system therefore the more efficient it is.,,,
tip 3,head facing north,,,
